,precision,recall,f1-score,support
µ¥Äσ¡Éσ¢¡Φìöµ₧¥σæ│450ml,0.0,0.0,0.0,7.0
µ¥Äσ¡Éσ¢¡σÄƒσæ│450ml,0.0,0.0,0.0,12.0
µ¥Äσ¡Éσ¢¡σôêσ»åτô£σæ│450ml,0.0,0.0,0.0,5.0
µ»¢Θô║,0.0,0.0,0.0,1.0
µ»¢Θô║ΦïªΦì₧ΘàÆ42σ║ª425ml,0.0,0.0,0.0,1.0
µ»ÅµùÑCµ₧£Φö¼µ▒ü300mlµáæΦÄôτ║óτö£ΦÅ£,0.0,0.0,0.0,75.0
µ»ÅµùÑCµ₧£Φö¼µ▒ü300mlΘçæµíöτ╛╜ΦíúτöÿΦô¥,0.0,0.0,0.0,96.0
µ»ÅµùÑCµ₧£Φö¼µ▒ü300mlτÖ╛ΘªÖµ₧£σìùτô£,0.0,0.0,0.0,101.0
µ»ÅµùÑCµ⌐Öµ▒ü300ml,0.0,0.0,0.0,144.0
µ»ÅµùÑCτ║»µ₧£µ▒ü_2,0.0,0.0,0.0,6.0
µ»ÅµùÑCτ║»µ₧£µ▒ü_3,0.0,0.0,0.0,6.0
µ»ÅµùÑCτ║»µ₧£µ▒ü_4,0.0,0.0,0.0,10.0
µ»ÅµùÑCτ║»µ₧£µ▒üµíâµ▒ü,0.0,0.0,0.0,329.0
µ»ÅµùÑCτ║»µ₧£µ▒üµ₧£τ║ñµ⌐Ö,0.0,0.0,0.0,157.0
µ»ÅµùÑCτ║»µ₧£µ▒üµ⌐Öµ▒ü,0.0,0.0,0.0,413.0
µ»ÅµùÑCτ║»µ₧£µ▒üΦâíΦÉ¥σì£µ▒ü,0.0,0.0,0.0,141.0
µ»ÅµùÑCτ║»µ₧£µ▒üΦæíΦÉä,0.0,0.0,0.0,395.0
µ»ÅµùÑCτ║»µ₧£µ▒üΦæíΦÉäµƒÜ,0.0,0.0,0.0,93.0
µ»ÅµùÑCτ║»µ₧£µ▒üΦèÆµ₧£,0.0,0.0,0.0,141.0
µ»ÅµùÑCτ║»µ₧£µ▒üΦï╣µ₧£,0.0,0.0,0.0,177.0
µ»ÅµùÑµ┤╗ΦÅî,0.0,0.0,0.0,9.0
µ»Åτ¢èµ╖╗,0.0,0.0,0.0,98.0
µ¼ºΦÄ▒Θ¢àτö╖σú½µÄºµ▓╣τé¡τê╜σçÇΣ║«,0.0,0.0,0.0,1.0
µ¼ºΦÄ▒Θ¢àτö╖σú½µ┤ùΘ¥óσÑ╢µ┐ÇΦâ╜ΘåÆΦéñµ┤üΘ¥óΦåÅ,0.0,0.0,0.0,1.0
µ¼ºΦÄ▒Θ¢àτö╖σú½µ┤ùΘ¥óσÑ╢τü½σ▒▒µ│Ñ,0.0,0.0,0.0,3.0
µ¼ºΦÄ▒Θ¢àτ▓╛µ▓╣µ╢ªσà╗µ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
µ¼óΣ╣Éσ«╢µñ░σ¡Éµ▒ü,0.0,0.0,0.0,9.0
µ¼óΣ╣Éσ«╢τöƒµª¿µñ░σ¡Éµ▒ü,0.0,0.0,0.0,5.0
µ¼úσÆîµ£ëµëÇµÇ¥τë¢Φéëσ░▒Θà▒µïî210G,0.0,0.0,0.0,23.0
µ¼úσÆîΘªÖΦÅçτé╕Θà▒,0.0,0.0,0.0,2.0
µ¼úσÆîΘü╡σ╛¬Φç¬τä╢Θà▒,0.0,0.0,0.0,2.0
µ¼úσÆîσ»┐σÅ╕Θåï245ML,0.0,0.0,0.0,37.0
µ¼úσÆîσ┐âµäÅτñ╝,0.0,0.0,0.0,10.0
µ¼úσÆîτ½╣τ¼Öσæ│σÖî500G,0.0,0.0,0.0,23.0
µ¿▒Σ╣ïΦè▒σ░ÅΦïÅµëôµ╕àµ┤üσëé360σàïτ╜ÉΦúà,0.0,0.0,0.0,1.0
µÇíµ│ë+Cµƒáµ¬¼σæ│τô╢Φúà,0.0,0.0,0.0,12.0
µÇíµ│ë+Cµƒáµ¬¼σæ│τ╜ÉΦúà,0.0,0.0,0.0,4.0
µÇíµ│ëµƒáµ¬¼σæ│ΦïÅµëôµ░┤τô╢Φúà,0.0,0.0,0.0,7.0
µÇíµ│ëΦïÅµëôµ░┤τô╢Φúà,0.0,0.0,0.0,8.0
µÇíµ│ëΦïÅµëôµ░┤τ╜ÉΦúà,0.0,0.0,0.0,2.0
µÇíσ«¥µƒáµ¬¼Φ££µ░┤,0.0,0.0,0.0,5.0
µÇíσ«¥Θ¡öσè¢Φ┐Éσè¿ΘÑ«µûÖµƒáµ¬¼σæ│,0.0,0.0,0.0,2.0
µÇíσ«¥Θ¡öσè¢Φ┐Éσè¿ΘÑ«µûÖσÆ╕Φìöµ₧¥σæ│,0.0,0.0,0.0,1.0
µÇíσ«¥σ░ÅΣ╕╗ΦÅîΣ╣│σæ│ΘÑ«µûÖ,0.0,0.0,0.0,5.0
µÇíσ«¥τÖ╛ΘªÖΦ££µ░┤,0.0,0.0,0.0,2.0
µÇíσ«¥τƒ┐µ│ëµ░┤,0.0,0.0,0.0,31.0
µÖ«Θ¢╖σàïµû»µ╡ôτ╝⌐Σ╜Äµ│íµèñΦë▓µ┤ùΦíúµ╢▓1.47L,0.0,0.0,0.0,3.0
µÜ┤Σ╕ïΘÑ¡(µ⌐ÖΦë▓),0.0,0.0,0.0,2.0
µÜ┤Σ╕ïΘÑ¡(Θ╗äΦë▓),0.0,0.0,0.0,1.0
µÜ┤Σ╕ïΘÑ¡(τÖ╜Φë▓),0.0,0.0,0.0,2.0
µá╝σçîσ«¥µñ░σÑ╢,0.0,0.0,0.0,2.0
µäÅµûçσòñΘàÆσòñΘàÆ,0.0,0.0,0.0,1.0
µêÿΘ⌐¼τ╗┤τöƒτ┤áΘÑ«µûÖ,0.0,0.0,0.0,17.0
µí╢Φúàσà¡µ£êΘ▓£τë╣τ║ºΘà▒µ▓╣,0.0,0.0,0.0,87.0
