,precision,recall,f1-score,support
µ╜ÿσ⌐╖Σ╣îΘ╗æΦÄ╣Σ║«µ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
µ╜ÿσ⌐╖Σ╣│µ╢▓Σ┐«µèñµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,7.0
µ╜ÿσ⌐╖Σ╣│µ╢▓Σ┐«µèñµ╢ªσÅæτ▓╛σìÄτ┤á400,0.0,0.0,0.0,2.0
µ╜ÿσ⌐╖σÑóτäòτ¢êµ╢ªµ╢ªσÅæΣ╣│300,0.0,0.0,0.0,1.0
µ╡╖Θú₧Σ╕¥µ¡óτùÆσæ╡µèñσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓200,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥µÇíτÑ₧σå░σçëσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓1L,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥µÇíτÑ₧σå░σçëσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓200,0.0,0.0,0.0,5.0
µ╡╖Θú₧Σ╕¥µÇíτÑ₧σå░σçëσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥µÇíτÑ₧σå░σçëσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,5.0
µ╡╖Θú₧Σ╕¥µƒöµ╢ªµ╗ïσà╗σ₧ïσÄ╗σ▒æµèñσÅæτ┤á200,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥µƒöµ╢ªµ╗ïσà╗σ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓200,0.0,0.0,0.0,1.0
µ╡╖Θú₧Σ╕¥µƒöΘí║ΦÄ╣µ│╜µ┤ùσÅæΘ£▓750,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥µ╕àτê╜σÄ╗µ▓╣σ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓1l,0.0,0.0,0.0,4.0
µ╡╖Θú₧Σ╕¥µ╕àτê╜σÄ╗µ▓╣σ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓200,0.0,0.0,0.0,3.0
µ╡╖Θú₧Σ╕¥µ╕àτê╜σÄ╗µ▓╣σ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,3.0
µ╡╖Θú₧Σ╕¥µ╕àτê╜σÄ╗µ▓╣σ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,4.0
µ╡╖Θú₧Σ╕¥µ╖▒σ▒éµ┤üσçÇσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
µ╡╖Θú₧Σ╕¥µ╡╖µ┤ïµ┤╗σè¢σ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,3.0
µ╡╖Θú₧Σ╕¥µ╡╖µ┤ïµ┤╗σè¢σ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,4.0
µ╡╖Θú₧Σ╕¥Θ╗æΣ║«σ╝║Θƒºσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥Σ╕¥Φ┤¿µƒöµ╗æσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓1L,0.0,0.0,0.0,3.0
µ╡╖Θú₧Σ╕¥Σ╕¥Φ┤¿µƒöµ╗æσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓200,0.0,0.0,0.0,4.0
µ╡╖Θú₧Σ╕¥Σ╕¥Φ┤¿µƒöµ╗æσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,4.0
µ╡╖Θú₧Σ╕¥Σ╕¥Φ┤¿µƒöµ╗æσ₧ïσÄ╗σ▒æµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,4.0
µ╡╖Θú₧Σ╕¥Φç┤τ╛Äµ░┤µ╢ªσÇìµ╢ªµ╗ïσà╗µ┤ùσÅæΘ£▓750,0.0,0.0,0.0,4.0
µ╡╖Θú₧Σ╕¥Φç╗Φç┤σ╝║Θƒºµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,3.0
µ╡╖Θú₧Σ╕¥ΦíÑµ░┤Φ╜╗τ¢êµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,3.0
µ╡╖Θú₧Σ╕¥ΦíÑµ░┤Φ╜╗τ¢êµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥σè▓τê╜Φô¼µ¥╛µ┤ùσÅæΘ£▓750,0.0,0.0,0.0,2.0
µ╡╖Θú₧Σ╕¥σñ┤τÜ«τäòµ┤╗µ╢ªσÅæΘ£▓400,0.0,0.0,0.0,2.0
µ╡╖Σ╣ïΦ¿Ç,0.0,0.0,0.0,27.0
µ╡╖σìùσ▓¢µñ░σ¡Éµ▒ü,0.0,0.0,0.0,1.0
µ╡╖σñ⌐9σ║ªτ║»Θà┐τ▒│Θåï,0.0,0.0,0.0,9.0
µ╡╖σñ⌐µï¢τëîµïîΘªàΦÜ¥µ▓╣700G,0.0,0.0,0.0,30.0
µ╡╖σñ⌐µï¢τëîµïîΘÑ¡Θà▒ΘªÖΦ╛úΘªÖΦÅçσæ│300G,0.0,0.0,0.0,40.0
µ╡╖σñ⌐µï¢τëîΦÜ¥µ▓╣τü½ΘöàΦÿ╕µûÖ725G,0.0,0.0,0.0,60.0
µ╡╖σñ⌐µï¢τëîτéÆΦÅ£ΦÜ¥µ▓╣700G,0.0,0.0,0.0,47.0
µ╡╖σñ⌐µ₧£τ£ƒσÑ╜Θåï450ML,0.0,0.0,0.0,46.0
µ╡╖σñ⌐µ╡╖Θ▓£Θà▒µ▓╣500ML,0.0,0.0,0.0,54.0
µ╡╖σñ⌐ΘªÖΘåï,0.0,0.0,0.0,78.0
µ╡╖σñ⌐ΘÖêΘà┐µûÖΘàÆ1.9L,0.0,0.0,0.0,6.0
µ╡╖σñ⌐ΘÖêΘà┐Θåï1.9L,0.0,0.0,0.0,8.0
µ╡╖σñ⌐ΘÖêΘà┐Θåï800ml,0.0,0.0,0.0,6.0
µ╡╖σñ⌐ΘÖêΘåï,0.0,0.0,0.0,69.0
µ╡╖σñ⌐ΘçæµáçΦÜ¥µ▓╣715G,0.0,0.0,0.0,71.0
µ╡╖σñ⌐Θçæµáçτöƒµè╜1.9L,0.0,0.0,0.0,21.0
µ╡╖σñ⌐Θçæµáçτöƒµè╜500ML,0.0,0.0,0.0,39.0
µ╡╖σñ⌐Θçæµáçτ▒│Θåï,0.0,0.0,0.0,15.0
µ╡╖σñ⌐ΘçæΦúàΣ╕ÇσôüΘ▓£1.28L,0.0,0.0,0.0,10.0
µ╡╖σñ⌐Θôüσ╝║σîûΘçæµáçτöƒµè╜,0.0,0.0,0.0,10.0
µ╡╖σñ⌐Θôüσ╝║σîûΦÇüµè╜Θà▒µ▓╣,0.0,0.0,0.0,4.0
µ╡╖σñ⌐Θôüσ╝║σîûΦìëΦÅçΦÇüµè╜,0.0,0.0,0.0,15.0
µ╡╖σñ⌐Θ╗äΦ▒åΘà▒2KG,0.0,0.0,0.0,37.0
µ╡╖σñ⌐Θ╗äΦ▒åΘà▒800G,0.0,0.0,0.0,78.0
µ╡╖σñ⌐Θ╗äΦ▒åΘà▒µ▓╣,0.0,0.0,0.0,14.0
µ╡╖σñ⌐Θ╗æτ▒│Θåï,0.0,0.0,0.0,1.0
µ╡╖σñ⌐Θ▓£Θçæµáçτöƒµè╜1.9L,0.0,0.0,0.0,12.0
µ╡╖σñ⌐Θ▓£Θçæµáçτöƒµè╜500ML,0.0,0.0,0.0,51.0
µ╡╖σñ⌐Θ▓£σæ│ΦÜ¥µ▓╣,0.0,0.0,0.0,36.0
µ╡╖σñ⌐Θ▓£σæ│τöƒµè╜1.9L,0.0,0.0,0.0,11.0
µ╡╖σñ⌐Θ▓£σæ│τöƒµè╜500ML,0.0,0.0,0.0,20.0
µ╡╖σñ⌐Θ▓£σæ│τöƒµè╜800ML,0.0,0.0,0.0,7.0
µ╡╖σñ⌐Σ║öΘªÖµûÖΘàÆ450ML,0.0,0.0,0.0,18.0
µ╡╖σñ⌐Σ╕èτ¡ëΦÜ¥µ▓╣2.2KG,0.0,0.0,0.0,11.0
µ╡╖σñ⌐Σ╕èτ¡ëΦÜ¥µ▓╣260G,0.0,0.0,0.0,16.0
µ╡╖σñ⌐Σ╕èτ¡ëΦÜ¥µ▓╣6KG,0.0,0.0,0.0,2.0
µ╡╖σñ⌐Σ╕èτ¡ëΦÜ¥µ▓╣700G,0.0,0.0,0.0,88.0
µ╡╖σñ⌐ΦÆ╕Θ▒╝Φ▒ëµ▓╣1.75L,0.0,0.0,0.0,9.0
µ╡╖σñ⌐ΦÆ╕Θ▒╝Φ▒ëµ▓╣450ML,0.0,0.0,0.0,45.0
µ╡╖σñ⌐ΦÇüµè╜500ML,0.0,0.0,0.0,14.0
µ╡╖σñ⌐ΦÇüµè╜Φ▒ëµ▓╣800ML,0.0,0.0,0.0,10.0
µ╡╖σñ⌐ΦÇüµè╜τÄï1.9L,0.0,0.0,0.0,6.0
µ╡╖σñ⌐ΦÇüµè╜τÄï500ML,0.0,0.0,0.0,13.0
µ╡╖σñ⌐ΦÇüµè╜τÄï800ML,0.0,0.0,0.0,5.0
µ╡╖σñ⌐ΦÇüσ¡ùσÅ╖365Θ½ÿτ║ñσñ┤ΘüôΘà▒µ▓╣480ML,0.0,0.0,0.0,20.0
µ╡╖σñ⌐ΦÇüσ¡ùσÅ╖µ╖íτ¢Éσñ┤ΘüôΘà▒µ▓╣480ML,0.0,0.0,0.0,7.0
µ╡╖σñ⌐ΦÇüσ¡ùσÅ╖Θ¢╢µ╖╗σèáσñ┤ΘüôΘà▒µ▓╣480ML,0.0,0.0,0.0,26.0
µ╡╖σñ⌐ΦÇüσ¡ùσÅ╖σÄƒΘà┐ΘÇáτ║»τ▓«τ▒│Θåï480ML,0.0,0.0,0.0,9.0
µ╡╖σñ⌐ΦÇüσ¡ùσÅ╖τ¼¼Σ╕ÇΘüôσñ┤ΘüôΘà▒µ▓╣480ML,0.0,0.0,0.0,8.0
µ╡╖σñ⌐ΦÜ¥µ▓╣τÜç705G,0.0,0.0,0.0,14.0
µ╡╖σñ⌐ΦìëΦÅçΦÇüµè╜1.9L,0.0,0.0,0.0,29.0
µ╡╖σñ⌐ΦìëΦÅçΦÇüµè╜500ML,0.0,0.0,0.0,38.0
µ╡╖σñ⌐Φ┤óσ«¥ΦÜ¥µ▓╣,0.0,0.0,0.0,49.0
µ╡╖σñ⌐Φ╛úΘ╗äΦ▒åΘà▒800G,0.0,0.0,0.0,34.0
µ╡╖σñ⌐σ«┤Σ╝ÜΘªÖΘåï,0.0,0.0,0.0,2.0
µ╡╖σñ⌐σº£Φæ▒µûÖΘàÆ,0.0,0.0,0.0,10.0
µ╡╖σñ⌐σÄƒΘà┐Φ▒åτôúΘà▒800G,0.0,0.0,0.0,24.0
µ╡╖σñ⌐σÅñΘüôµûÖΘàÆ1.9L,0.0,0.0,0.0,2.0
µ╡╖σñ⌐σÅñΘüôµûÖΘàÆ450ml,0.0,0.0,0.0,91.0
µ╡╖σñ⌐σæ│µ₧üΘ▓£1.9L,0.0,0.0,0.0,52.0
µ╡╖σñ⌐σæ│µ₧üΘ▓£750ML,0.0,0.0,0.0,54.0
µ╡╖σñ⌐σçëµïîΘà▒µ▓╣500ML,0.0,0.0,0.0,12.0
µ╡╖σñ⌐τÅìΘà┐ΦÇüµè╜,0.0,0.0,0.0,23.0
µ╡╖σñ⌐τÅìΘà┐τöƒµè╜,0.0,0.0,0.0,35.0
µ╡╖σñ⌐τÖ╜Θåï1.9L,0.0,0.0,0.0,7.0
µ╡╖σñ⌐τÖ╜Θåï450ml,0.0,0.0,0.0,37.0
µ╡╖σñ⌐τÖ╜τ▒│Θåï,0.0,0.0,0.0,113.0
µ╡╖σñ⌐τë╣τ║ºΣ╕ÇσôüΘ▓£1.9L,0.0,0.0,0.0,16.0
µ╡╖σñ⌐τë╣τ║ºΣ╕ÇσôüΘ▓£500ML,0.0,0.0,0.0,39.0
µ╡╖σñ⌐τë╣τ║ºΦìëΦÅçΦÇüµè╜500ML,0.0,0.0,0.0,59.0
µ╡╖σñ⌐τë╣τ║ºσæ│µ₧üΘ▓£500ML,0.0,0.0,0.0,65.0
µ╡╖σñ⌐τò¬Φîäµ▓ÖσÅ╕,0.0,0.0,0.0,22.0
µ╡╖σñ⌐τöƒµè╜500ML,0.0,0.0,0.0,7.0
µ╡╖σñ⌐τ║óτâºΘà▒µ▓╣1.9L,0.0,0.0,0.0,1.0
µ╡╖σñ⌐τ║óτâºΘà▒µ▓╣500ML,0.0,0.0,0.0,92.0
µ╡╖σñ⌐τ║óτâºΦÇüµè╜1.9L,0.0,0.0,0.0,10.0
µ╡╖σñ⌐τ║óτâºΦÇüµè╜500ML,0.0,0.0,0.0,9.0
µ╡╖σñ⌐τ╗Åσà╕Θçæµáçτöƒµè╜1.9L,0.0,0.0,0.0,49.0
µ╡╖σñ⌐τ╗Åσà╕Θçæµáçτöƒµè╜500ML,0.0,0.0,0.0,39.0
µ╡╖σñ⌐τ╗Åσà╕Θ▓£σæ│τöƒµè╜1.9L,0.0,0.0,0.0,29.0
µ╡╖σñ⌐τ╗Åσà╕Θ▓£σæ│τöƒµè╜500ML,0.0,0.0,0.0,60.0
µ╡╖σñ⌐τ╗Åσà╕Θ▓£σæ│τöƒµè╜800ML,0.0,0.0,0.0,7.0
µ╡╖σñ⌐τ╗Åσà╕ΦÇüµè╜τÄï1.9L,0.0,0.0,0.0,8.0
µ╡╖σñ⌐τ╗Åσà╕ΦÇüµè╜τÄï500ML,0.0,0.0,0.0,24.0
µ╡╖σñ⌐τ╗Åσà╕ΦÇüµè╜τÄï800ML,0.0,0.0,0.0,9.0
µ╡╖σñ⌐τ╗Åσà╕ΦìëΦÅçΦÇüµè╜1.9L,0.0,0.0,0.0,21.0
µ╡╖σñ⌐τ╗Åσà╕ΦìëΦÅçΦÇüµè╜500ML,0.0,0.0,0.0,22.0
µ╡╖σñ⌐τ▓╛ΘÇëΦÇüµè╜,0.0,0.0,0.0,7.0
µ╡╖σñ⌐τ▓╛ΘÇëτöƒµè╜,0.0,0.0,0.0,16.0
µ╡╖σ║òµì₧µ╕àµ▒ñτü½Θöàσ║òµûÖ,0.0,0.0,0.0,1.0
µ╡╖σ║òµì₧µ╕àµ▓╣τü½Θöàσ║òµûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧Θ¥ÆµñÆτë¢µ▓╣τü½Θöàσ║òµûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧ΘªÖΦ╛úσ░ÅΘ╛ÖΦÖ╛Φ░âσæ│µûÖ,0.0,0.0,0.0,1.0
µ╡╖σ║òµì₧Θà╕ΦÅ£σ░ÅΘ╛ÖΦÖ╛Φ░âσæ│µûÖ,0.0,0.0,0.0,1.0
µ╡╖σ║òµì₧ΘåçΘªÖτë¢µ▓╣τü½Θöàσ║òµûÖ,0.0,0.0,0.0,3.0
µ╡╖σ║òµì₧Θ║╗Φ╛úΘªÖΘöàΦ░âσæ│µûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧Θ║╗Φ╛úσ░ÅΘ╛ÖΦÖ╛Φ░âσæ│µûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧Σ╕èµ▒ñΘà╕ΦÅ£Θ▒╝Φ░âσæ│µûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧Σ╕ëΘ▓£τü½Θöàσ║òµûÖ,0.0,0.0,0.0,3.0
µ╡╖σ║òµì₧ΦÆ£Φôëσ░ÅΘ╛ÖΦÖ╛Φ░âσæ│µûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧σÑ╜σÑ╜σÉâΘÑ¡τçòΘ║ªΘ¥ÆµñÆΘà▒210G,0.0,0.0,0.0,3.0
µ╡╖σ║òµì₧σÑ╜σÑ╜σÉâΘÑ¡τ║óΦæ▒Θ╗äΦ▒åΘà▒210G,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧τë¢µ▓╣τü½Θöàσ║òµûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧τò¬Φîäτü½Θöàσ║òµûÖ,0.0,0.0,0.0,2.0
µ╡╖σ║òµì₧τ║óσÆûσû▒ΘúÄσæ│τë¢µ▓╣τü½Θöàσ║òµûÖ,0.0,0.0,0.0,2.0
µ╡╖τÑ₧365Θ½ÿΘ▓£τºÿσê╢µûÖΘàÆ,0.0,0.0,0.0,4.0
µ╡╖τÑ₧µûÖΘàÆ,0.0,0.0,0.0,22.0
µ╡╖τÑ₧µûÖΘàÆµí╢,0.0,0.0,0.0,6.0
µ╡╖τÑ₧Θ╗äΘàÆ,0.0,0.0,0.0,4.0
µ╡╖τÑ₧Θ╗äΘàÆ2,0.0,0.0,0.0,7.0
µ╡╖τÑ₧Θ╗æτ▒│µûÖΘàÆ,0.0,0.0,0.0,1.0
µ╡╖τÑ₧Φæ▒σº£µûÖΘàÆ,0.0,0.0,0.0,9.0
µ╡╖τÑ₧Φæ▒σº£µûÖΘàÆµí╢,0.0,0.0,0.0,9.0
µ╡╖τÑ₧σ«╢σ«┤µûÖΘàÆ,0.0,0.0,0.0,3.0
µ╡╖τÑ₧σº£µ▒üµûÖΘàÆτÄï,0.0,0.0,0.0,5.0
µ╡╖τÑ₧τ║óµ▓╣Φ▒åτôú,0.0,0.0,0.0,3.0
µ╢êσüÑ,0.0,0.0,0.0,6.0
µ╣ûτ╛èΘ╗äΦ▒åΘà▒µ▓╣µí╢Φúà,0.0,0.0,0.0,1.0
µ░┤µ║╢C100µƒáµ¬¼σÅúσæ│,0.0,0.0,0.0,14.0
µ░┤µ║╢C100Θ¥ÆτÜ«µ⌐ÿσÅúσæ│,0.0,0.0,0.0,15.0
µ░┤µ║╢C100ΦÑ┐µƒÜσÅúσæ│,0.0,0.0,0.0,18.0
µ░┤σè¿Σ╣Éµíâσæ│600ml,0.0,0.0,0.0,46.0
µ░┤σè¿Σ╣ÉΦ£éΦ££µƒáµ¬¼600ml,0.0,0.0,0.0,20.0
µ░┤σíö9σ║ªτ▒│Θåï420ML,0.0,0.0,0.0,12.0
µ░┤σíöΘÑ║σ¡ÉΘåï,0.0,0.0,0.0,5.0
µ░┤σíöΦîëΦÄëτÖ╜Θåï,0.0,0.0,0.0,4.0
µ░┤σíöσçëµïîΘåï420ML,0.0,0.0,0.0,9.0
µ░┤σíöσ▒▒ΦÑ┐ΘÖêΘåï,0.0,0.0,0.0,5.0
µ░┤σíöτÖ╜τ▒│Θåï,0.0,0.0,0.0,1.0
µ░┤σíöτ▒│Θåï,0.0,0.0,0.0,1.0
µ░╕Σ╕░ΘÖêΘà┐42σ║ª500ml,0.0,0.0,0.0,1.0
µ░╕Σ╕░σîùΣ║¼Σ║îΘöàσñ┤42σ║ªσç║σÅúσ░Åµû╣τô╢100mlπÇü500ml,0.0,0.0,0.0,26.0
µ░╕Σ╕░σîùΣ║¼Σ║îΘöàσñ┤56σ║ª5L,0.0,0.0,0.0,3.0
µ░╕Σ╕░τëîσîùΣ║¼Σ║îΘöàσñ┤42σ║ªσ░Åµû╣τô╢500ml,0.0,0.0,0.0,4.0
µ▒çµ║Éµíâµ▒ü,0.0,0.0,0.0,11.0
µ▒çµ║Éµ⌐Öµ▒ü,0.0,0.0,0.0,18.0
µ▒çµ║ÉΦæíΦÉäµ▒ü,0.0,0.0,0.0,8.0
µ▒çµ║ÉΦï╣µ₧£µ▒ü,0.0,0.0,0.0,9.0
µ▒ƒσ░ÅτÖ╜40σ║ªJOYYOUTH500ml,0.0,0.0,0.0,10.0
µ▒ƒσ░ÅτÖ╜40σ║ªStraightΘ½ÿτ▓▒ΘàÆ300ml,0.0,0.0,0.0,2.0
µ▒ƒσ░ÅτÖ╜Se.100 40σ║ª300ml,0.0,0.0,0.0,18.0
µ▒╛ΘàÆ42σ║ªτ║óτ¢ûτÄ╗µ▒╛475ml,0.0,0.0,0.0,7.0
µ▓Öµ┤▓,0.0,0.0,0.0,2.0
µ▓Öσ«úΣ┐«µèñµ░┤σà╗µ┤ùσÅæΘ£▓400,0.0,0.0,0.0,2.0
µ▓Öσ«úσ₧éσ¥áΦ┤¿µäƒµ┤ùσÅæΘ£▓200,0.0,0.0,0.0,4.0
Θ¢¬ΦÄ▓∩╝êΦ╜»Φô¥∩╝ë,0.0,0.0,0.0,1.0
Θ¢¬ΦÅ▓σè¢τ¢Éµ▒╜µ░┤,0.0,0.0,0.0,5.0
Θ¢¬Φè▒10σ║ªτ║»τöƒ∩╝êµªéσ┐╡τ│╗σêù∩╝ëτë¢σìíτ║╕τ╗äσÉêΦúà,0.0,0.0,0.0,10.0
Θ¢¬Φè▒8σ║ªµ╕àτê╜,0.0,0.0,0.0,143.0
Θ¢¬Φè▒8σ║ªσïçΘù»σñ⌐µ╢»330mlτ╜Éσòñ,0.0,0.0,0.0,8.0
Θ¢¬Φè▒8σ║ªσïçΘù»σñ⌐µ╢»500mlτô╢Φúà,0.0,0.0,0.0,76.0
Θ¢¬Φè▒8σ║ªσïçΘù»σñ⌐µ╢»500mlτ╜Éσòñ,0.0,0.0,0.0,47.0
Θ¢¬Φè▒8σ║ªσïçΘù»σñ⌐µ╢»τ╜Éσòñ_6τ╗äσÉêΦúà,0.0,0.0,0.0,86.0
Θ¢¬Φè▒9σ║ªσïçΘù»σñ⌐µ╢»500mlτô╢Φúà,0.0,0.0,0.0,87.0
Θ¢¬Φè▒µ╕àτê╜8σ║ª330_6τ╜Éσòñτ╗äσÉêΦúà,0.0,0.0,0.0,66.0
Θ¢¬Φè▒µ╕àτê╜8σ║ªτ«▒Φúà,0.0,0.0,0.0,52.0
Θ¢¬Φè▒Φä╕Φ░▒Φè▒µùªτ│╗σêù8σ║ª500τ╜Éσòñ,0.0,0.0,0.0,35.0
Θ¢¬Φè▒Φä╕Φ░▒Φè▒Φä╕τ│╗σêù11.5σ║ª500τ╜Éσòñ,0.0,0.0,0.0,1.0
Θ¢¬Φè▒Φä╕Φ░▒τ║óΦë▓,0.0,0.0,0.0,22.0
Θ¢¬Φè▒σÄƒµ▒üΘ║ª500ml,0.0,0.0,0.0,3.0
Θ¢¬Φè▒σå░Θà╖330mlτ«▒Φúà,0.0,0.0,0.0,42.0
Θ¢¬Φè▒σå░Θà╖9σ║ªτ╜Éσòñ,0.0,0.0,0.0,121.0
Θ¢¬Φè▒σå░Θà╖_6τ╗äσÉêΦúà,0.0,0.0,0.0,23.0
Θ¢¬Φè▒σïçΘù»σñ⌐µ╢»superX,0.0,0.0,0.0,44.0
Θ¢¬Φè▒σïçΘù»σñ⌐µ╢»Σ╕¢µ₧ùΦ┐╖σ╜⌐τë¢σìíτ║╕τ╗äσÉêΦúà,0.0,0.0,0.0,11.0
Θ¢¬Φè▒σïçΘù»σñ⌐µ╢»Σ╕¢µ₧ùΦ┐╖σ╜⌐τ╜Éσòñ,0.0,0.0,0.0,1.0
Θ¢¬Φè▒σñ⌐τ▓╣τë¢σìíτ║╕,0.0,0.0,0.0,6.0
Θ¢¬Φè▒σñ⌐τ▓╣τë¢σìíτ║╕τ╗äσÉêΦúà,0.0,0.0,0.0,3.0
Θ¢¬Φè▒σòñΘàÆσïçΘù»σñ⌐µ╢»∩╝êµªéσ┐╡τ│╗σêù∩╝ëτë¢σìíτ║╕τ╗äσÉêΦúà,0.0,0.0,0.0,8.0
Θ¢¬Φè▒σòñΘàÆσïçΘù»σñ⌐µ╢»∩╝êµªéσ┐╡τ│╗σêù∩╝ëτ╜Éσòñ,0.0,0.0,0.0,2.0
Θ¢¬Φè▒τ║»τöƒ10σ║ª500µªéσ┐╡,0.0,0.0,0.0,4.0
Θ¢¬Φè▒τ║»τöƒ10σ║ª500τ╜Éσòñσîáσ┐â,0.0,0.0,0.0,6.0
Θ¢¬Φè▒τ║»τöƒ500mlτô╢Φúà,0.0,0.0,0.0,47.0
Θ¢¬Φè▒τ║»τöƒ500mlτ╗äσÉêΦúà,0.0,0.0,0.0,179.0
Θ¢¬Φè▒τ║»τöƒτ«▒Φúà,0.0,0.0,0.0,5.0
Θ¢¬Φè▒τ║»τöƒτ╜Éσòñ,0.0,0.0,0.0,37.0
Θ¢¬Φè▒τ▓╛σê╢9σ║ª330mlτ╜Éσòñ,0.0,0.0,0.0,9.0
Θ¢¬Φè▒τ▓╛σê╢9σ║ª330mlτ╜Éσòñ∩╝êτë¢σìíτ║╕Φúà∩╝ë,0.0,0.0,0.0,2.0
Θ¢¬Φè▒τ▓╛σê╢9σ║ª500_6τ╜Éσòñτ╗äσÉêΦúà,0.0,0.0,0.0,88.0
Θ¢¬τóºµñ░σ¡Éσæ│,0.0,0.0,0.0,13.0
Θ¢¬τóºΘ¢╢σìíτô╢Φúà,0.0,0.0,0.0,16.0
Θ¢¬τóºΘ¢╢σìíτ╜ÉΦúà,0.0,0.0,0.0,10.0
Θ¢¬τóºτ«▒Φúà,0.0,0.0,0.0,2.0
Θ¢¬τóºτô╢Φúàτ╗äσÉêΦúà,0.0,0.0,0.0,10.0
Θ¢¬τóºτ║ñτ╗┤+τô╢Φúà,0.0,0.0,0.0,16.0
Θ¢¬τóºτ║ñτ╗┤+τ╜ÉΦúà,0.0,0.0,0.0,13.0
Θ¢¬τóºτ╜ÉΦúà,0.0,0.0,0.0,44.0
Θ¢¬τóºτ╜ÉΦúàτ╗äσÉêΦúà,0.0,0.0,0.0,3.0
Θ¢Çσ╖óΣ╝ÿµ┤╗σíæσ░üΦúà,0.0,0.0,0.0,3.0
Θ¢Çσ╖óσÆûσòíµäÅσ╝Åµ╡ôΘåçτ╜ÉΦúà,0.0,0.0,0.0,4.0
Θ¢Çσ╖óσÆûσòíµ╡ôΘªÖτäÖτàÄτ╜ÉΦúà,0.0,0.0,0.0,8.0
Θ¢Çσ╖óσÆûσòíΣ╕¥µ╗æµª¢µ₧£ΘúÄσæ│τô╢Φúà,0.0,0.0,0.0,10.0
Θ¢Çσ╖óσÆûσòíΣ╕¥µ╗æµæ⌐σìíΘúÄσæ│τô╢Φúà,0.0,0.0,0.0,5.0
Θ¢Çσ╖óσÆûσòíΣ╕¥µ╗æµï┐ΘôüΘúÄσæ│τô╢Φúà,0.0,0.0,0.0,5.0
Θ¢Çσ╖óσÆûσòíΣ╕¥µ╗æτäªτ│ûΘúÄσæ│τô╢Φúà,0.0,0.0,0.0,9.0
Θ¢Çσ╖óσÆûσòíσÄƒΘåçΘªÖµ╗æτ╜ÉΦúà,0.0,0.0,0.0,7.0
Θ¢Çσ╖óσÆûσòíτ╗äσÉêΦúà,0.0,0.0,0.0,17.0
Θ¢Çσ╖óσå╖ΦÉâµæ⌐σìíΘúÄσæ│,0.0,0.0,0.0,6.0
Θ¢Çσ╖óσå╖ΦÉâµï┐ΘôüΘúÄσæ│,0.0,0.0,0.0,6.0
Θ¢Çσ╖óσå╖ΦÉâτ╛Äσ╝ÅΘúÄσæ│,0.0,0.0,0.0,6.0
Θ¢Çσ╖óτ╛Äµ₧üΘ▓£,0.0,0.0,0.0,65.0
Θ¢äτï«∩╝êτí¼∩╝ë,0.0,0.0,0.0,1.0
Θ¢òτëîµ┤ùµ┤üτ▓╛408,0.0,0.0,0.0,4.0
Θ¢òτëîµ┤ùµ┤üτ▓╛τöƒσº£1000,0.0,0.0,0.0,3.0
